country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Central Europe and the Baltics,69.35499394,68.91922533,68.31780628,67.86154798,67.42535376,67.23882487,66.65187134,66.45246618,65.8863566,65.24212673,64.90874774,64.46114978,62.94929449,62.84053577,62.80204844,62.62096316,62.86363836,63.10946035,63.58385961,63.65495067,63.64315043,63.47554124,63.88924061,64.13671212,64.90138993,64.82880836,64.69187736,64.53164679
Switzerland,80.51799774,80.75800323,80.27200317,80.39499664,79.65699768,79.38800049,78.86000061,78.375,78.31500244,77.95500183,77.69300079,77.23200226,76.6289978,76.59899902,75.81099701,75.04100037,75.36299896,75.7440033,75.38800049,75.22599792,75.25,75.53099823,75.33699799,74.93599701,74.9260025,74.84999847,74.65299988,74.46299744
Channel Islands,71.77600098,72.0019989,71.77200317,71.64499664,71.43499756,71.66400146,71.54699707,71.26499939,71.1210022,70.84799957,70.44300079,70.20400238,69.6740036,69.24199677,68.94200134,68.76899719,68.33300018,68.05999756,68.04100037,68.06600189,66.96499634,67.28700256,67.10099792,66.55799866,66.17500305,65.93099976,65.66200256,65.41500092
Chile,76.73200226,76.73899841,77.05500031,77.93800354,77.79499817,76.87000275,76.2009964,75.89399719,75.94499969,75.69999695,74.63899994,74.05400085,73.43499756,73.11599731,72.96299744,73.13600159,73.67299652,73.79499817,74.33499908,73.72200012,74.72299957,75.25099945,74.94300079,74.54399872,74.51799774,74.6289978,74.68499756,74.73400116
China,84.97499847,84.92299652,84.91400146,84.91999817,84.90000153,84.81900024,84.6740036,84.47499847,84.20899963,83.86499786,83.43900299,82.77500153,82.01399994,81.21600342,80.47200012,79.83599854,79.29699707,78.86000061,78.48999786,78.1309967,77.7539978,77.78099823,77.83499908,77.88400269,77.88899994,77.93299866,77.8769989,77.72799683
Cote d'Ivoire,87.70700073,87.09999847,86.47200012,85.82900238,85.18299866,84.53800201,83.83899689,83.12000275,82.37999725,82.29299927,82.23999786,82.21700287,82.1989975,82.17099762,82.1190033,82.03600311,81.94799805,81.83699799,81.70300293,81.54799652,81.3789978,81.24299622,81.11299896,80.99700165,80.90299988,80.8690033,80.85399628,80.86299896
Cameroon,79.56199646,79.20300293,78.81800079,78.40000153,77.93599701,77.42299652,76.84200287,77.13500214,77.41899872,77.7009964,77.98799896,78.26499939,78.54399872,78.83300018,79.13700104,79.45800018,79.79499817,80.14099884,80.49500275,80.85299683,81.21299744,81.16300201,81.12400055,81.08499908,81.02899933,81.10900116,81.17500305,81.23000336
"Congo, Dem. Rep.",73.16500092,73.28800201,73.41899872,73.53700256,73.6309967,73.69300079,73.71099854,73.69100189,73.64700317,73.58200073,73.50099945,73.41999817,73.33300018,73.23699951,73.1269989,73.0019989,72.86100006,72.70700073,72.54699707,72.38700104,72.24099731,72.10600281,71.97899628,71.85399628,71.71800232,71.76599884,71.80699921,71.84200287
"Congo, Rep.",72.08100128,71.8769989,71.67900085,71.4940033,71.33300018,71.22799683,71.1289978,71.06300354,71.04699707,71.06900024,71.14800262,71.22100067,71.31199646,71.40200043,71.48300171,71.54599762,71.70899963,71.83599854,71.97100067,72.11699677,72.27700043,72.41100311,72.52300262,72.59799957,72.62799835,72.61699677,72.6230011,72.61599731
Colombia,77.65899658,78.00800323,78.31099701,78.55500031,79.13400269,79.66899872,80.17500305,80.63700104,81.06400299,81.46600342,81.84799957,82.22599792,82.59100342,82.93599701,81.37400055,81.16799927,78.63600159,78.03099823,78.66600037,80.26000214,80.26799774,80.12000275,80.20400238,79.87799835,79.77799988,79.80799866,79.82800293,79.82700348
Comoros,80.5510025,80.42700195,80.29100037,80.14399719,79.98699951,79.82099915,79.64499664,79.46600342,79.29499817,79.14199829,79.01599884,78.90599823,78.81800079,78.75700378,78.72699738,78.72899628,78.7519989,78.8030014,78.8710022,78.94499969,79.01399994,79.09500122,79.17199707,79.24199677,79.30200195,79.37599945,79.43000031,79.47299957
Cabo Verde,85.1989975,85.19499969,85.18199921,85.15399933,85.08000183,84.95300293,84.74700165,84.48600006,84.17900085,83.84200287,83.47699738,83.16500092,82.85600281,82.57700348,82.3219986,82.19300079,82.22100067,82.31999969,82.45800018,82.60600281,82.77600098,83.06500244,83.35099792,83.6230011,83.86799622,84.15299988,84.39600372,84.60800171
Costa Rica,84.40200043,82.9960022,82.35099792,82.94300079,82.58000183,83.41300201,81.60500336,82.61299896,83.26899719,82.44599915,81.3010025,81.30999756,80.94100189,80.54699707,79.82800293,80.18199921,79.89700317,80.45500183,79.40499878,78.11699677,77.0719986,77.90200043,77.06700134,76.86199951,76.60399628,76.55999756,76.52700043,76.5019989
Caribbean small states,79.66903822,77.18040734,77.83376538,78.2792666,78.28496122,78.22370799,77.73596537,77.49723921,77.18549744,76.94912779,76.87222564,76.60984269,76.29857054,76.13382042,76.02076828,76.006075,75.87118848,75.95066016,75.68990068,74.67781697,73.90888543,73.70257003,73.58109286,73.88394088,73.80165958,73.79314987,73.83131499,73.88506658
Cuba,72.23100281,72.22499847,72.30400085,72.41500092,72.47299957,72.41600037,72.21099854,71.8809967,71.43299866,70.89199829,70.28500366,69.60399628,68.86599731,68.11199951,67.39399719,67.33799744,67.19400024,67.72100067,68.44100189,70.09999847,68.91799927,69.30899811,69.17700195,68.99199677,68.80999756,68.64900208,68.48600006,68.32499695
Curacao,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,70.83799744,71.0530014,69.77300262,70.87200165,69.85800171,70.01100159,70.33300018,69.35600281,68.92299652,68.88899994,71.91799927,71.98899841,71.39800262,72.36199951,73.16899872,73.08699799,72.77100372,72.5019989,71.96700287,71.41600037,71.31300354,70.61499786,70.75299835,70.41100311,69.89299774,70.15799713,70.31700134,70.4469986
