country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Lebanon,,,,,,,99.4095993,92.83255005,92.98845673,93.90467072,93.60063171,94.53922272,94.2022171,94.84916687,95.84967804,93.00695038,93.61152649,94.10500336,93.58944702,95.4258194,97.39749146,98.32315063,89.0476532,
Liberia,,,,,,,,,,,,,,,,,83.55419159,,,,,,81.08529663,
Libya,,,,,,,,,,,,,,,,,,,,,,,,
St. Lucia,,,,,,,,,,58.891819,60.43284988,64.88588715,62.78453827,,,96.04633331,96.36591339,96.33312988,96.19306946,94.98606873,93.48462677,96.57737732,,
Latin America & Caribbean,89.85165405,91.72065735,91.74980927,92.35877991,92.73365784,93.16561127,94.51563263,95.33808136,95.42146301,96.53990173,96.07199097,95.43408966,95.48408508,95.5612793,95.79016876,95.58261871,96.0591507,96.01703644,96.12095642,95.9122467,96.14517975,96.1631012,,
Least developed countries: UN classification,58.15602875,58.37754059,59.69116974,61.3076973,63.22864914,64.9072876,67.62007904,68.31581879,70.01857758,,73.3802948,75.32281494,78.0350647,78.63321686,79.56762695,80.21698761,77.72254181,79.59718323,79.16831207,79.57367706,79.41207886,79.54650879,,
Low income,60.23871994,59.17871857,60.69659042,62.02857971,63.95969009,64.09699249,67.39459229,66.59609222,68.36891937,70.06990814,70.53006744,72.50862122,75.76365662,76.31170654,78.99642181,80.34195709,77.30819702,78.22042847,78.90238953,79.74088287,79.11119843,78.94064331,77.98451996,
Liechtenstein,,,,,,,,,,,,,97.36650085,100,100,100,100,100,100,,,,,
Sri Lanka,,,,,,,,,,98.0199585,97.64102173,,,98.9588089,99.00839233,98.60874176,96.76701355,,100,96.99382782,99.45101929,99.47190094,99.45561981,
Lower middle income,80.38980865,81.01708221,81.87304688,82.67221832,83.40425873,83.9996109,84.76348114,85.45825195,84.82240295,87.11636353,85.30355072,87.06815338,86.43759155,87.74726868,89.07138062,88.35012817,88.90397644,88.63829041,88.11260223,89.38627625,88.08042908,87.71379089,89.3989563,
Low & middle income,,,,,,,,,,,,,,,,,,,,,,,,
Lesotho,,,,,,68.75,69.91629791,64.80075836,70.29503632,75.65019989,79.68652344,74.76315308,79.74945068,80.64968872,77.19954681,78.69706726,82.21691895,87.62268829,82.52736664,85.25321198,83.26431274,83.39533997,84.7009201,
Late-demographic dividend,,,,88.51851654,92.46757507,89.66819,90.25272369,90.99279785,91.85873413,92.6939621,93.65593719,94.53073883,95.5398407,96.45488739,97.41885376,98.38061523,98.39454651,98.34754181,98.39321899,98.11325836,97.35242462,95.90349579,,
Lithuania,,,,,100,,99.9257431,100,99.92751312,100,99.67722321,99.4498291,99.10259247,98.5205307,99.25157928,99.06796265,99.37895203,99.14975739,98.44428253,98.9139328,98.88115692,98.90930176,99.06665039,
Luxembourg,,,,,,,,,,,,,,,,,,,,,,,,
Latvia,,,,,,,,99.35749817,100,100,99.98757935,99.75949097,99.93264771,99.72393799,,97.8529892,98.53061676,97.74823761,98.39335632,99.24609375,97.6989975,98.1055069,98.38974762,
"Macao SAR, China",82.51689148,,,,,,,92.74954987,94.39601135,92.21790314,96.13300323,97.4504776,95.80272675,95.03945923,99.416008,96.6047821,98.46154022,99.51753998,98.87526703,100,99.06742859,100,99.39080811,
St. Martin (French part),,,,,,,,,,,,,,,,,,,,,,,,
Morocco,91.91130066,92.3549118,90.80654144,,87.04502106,,84.21753693,87.58291626,88.48069,89.44950104,88.36009216,88.33360291,,87.59866333,88.89124298,87.94216919,89.97870636,91.62893677,91.94355774,92.3131485,93.70423889,92.19313812,,
Monaco,,,,,,,,,,,,,,,,,,,,,,,,
Moldova,,,97.6207428,,,,,,,98.46753693,97.74893188,97.52610016,99.55008698,98.39350128,98.90644073,98.81536865,98.6293335,98.22499847,98.25286865,98.67355347,97.85072327,98.5401001,98.61811066,
Madagascar,,54.99345016,,60.23107147,,,64.04480743,67.59021759,63.49718857,71.45362854,66.20655823,77.48664856,75.41172791,71.53177643,75.95101166,76.32701111,74.65814972,74.06324005,80.96270752,79.15483856,73.006073,76.10707092,76.42909241,
Maldives,,,,,,,,,,,56.62881088,,89.37229156,92.3306427,,97.2215271,,,,,93.35005951,,,
Middle East & North Africa,86.1522522,88.10858154,89.1725235,89.0396347,89.0847702,89.19862366,90.02580261,91.09127045,90.69984436,92.17716217,93.74276733,,92.57433319,91.47476196,91.77862549,91.97633362,92.37911987,91.83647919,91.56774902,90.8947525,87.46270752,87.68078613,,
